Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1982","1982","tonnes","3000","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1983","1983","tonnes","3000","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1984","1984","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1985","1985","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1986","1986","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1987","1987","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1988","1988","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1989","1989","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1990","1990","tonnes","3244","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1991","1991","tonnes","4698","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1992","1992","tonnes","4580","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1993","1993","tonnes","4462","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1994","1994","tonnes","4343","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1995","1995","tonnes","4225","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1996","1996","tonnes","4107","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1997","1997","tonnes","3988","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1998","1998","tonnes","3870","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","1999","1999","tonnes","3752","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2000","2000","tonnes","3634","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2001","2001","tonnes","3515","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2002","2002","tonnes","3512","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2003","2003","tonnes","3380","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2004","2004","tonnes","3300","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2005","2005","tonnes","2800","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2006","2006","tonnes","3000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2007","2007","tonnes","2800","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2008","2008","tonnes","2800","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2009","2009","tonnes","2800","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2010","2010","tonnes","2000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2011","2011","tonnes","2000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2012","2012","tonnes","2000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2013","2013","tonnes","2000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2014","2014","tonnes","1887","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2015","2015","tonnes","1741","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2016","2016","tonnes","1604","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2017","2017","tonnes","1482","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2018","2018","tonnes","1361","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2019","2019","tonnes","1239","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1961","1961","hg","42","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1962","1962","hg","43","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1963","1963","hg","54","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1964","1964","hg","41","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1965","1965","hg","30","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1966","1966","hg","37","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1967","1967","hg","50","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1968","1968","hg","39","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1969","1969","hg","77","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1970","1970","hg","61","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1971","1971","hg","43","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1972","1972","hg","42","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1973","1973","hg","44","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1974","1974","hg","44","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1975","1975","hg","44","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1976","1976","hg","50","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1977","1977","hg","50","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1978","1978","hg","60","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1979","1979","hg","60","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1980","1980","hg","56","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1981","1981","hg","61","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1982","1982","hg","69","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1983","1983","hg","63","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1984","1984","hg","56","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1985","1985","hg","60","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1986","1986","hg","78","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1987","1987","hg","61","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1988","1988","hg","50","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1989","1989","hg","63","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1990","1990","hg","49","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1991","1991","hg","50","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1992","1992","hg","66","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1993","1993","hg","66","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1994","1994","hg","56","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1995","1995","hg","113","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1996","1996","hg","131","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1997","1997","hg","110","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1998","1998","hg","142","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","1999","1999","hg","135","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2000","2000","hg","142","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2001","2001","hg","144","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2002","2002","hg","134","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2003","2003","hg","111","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2004","2004","hg","151","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2005","2005","hg","116","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2006","2006","hg","122","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2007","2007","hg","121","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2008","2008","hg","144","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2009","2009","hg","137","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2010","2010","hg","132","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2011","2011","hg","124","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2012","2012","hg","125","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2013","2013","hg","122","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2014","2014","hg","119","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2015","2015","hg","118","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2016","2016","hg","129","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2017","2017","hg","125","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2018","2018","hg","138","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5422","Yield","1182","Honey, natural","2019","2019","hg","143","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1961","1961","tonnes","400","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1962","1962","tonnes","400","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1963","1963","tonnes","450","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1964","1964","tonnes","400","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1965","1965","tonnes","324","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1966","1966","tonnes","389","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1967","1967","tonnes","491","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1968","1968","tonnes","339","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1969","1969","tonnes","680","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1970","1970","tonnes","610","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1971","1971","tonnes","425","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1972","1972","tonnes","380","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1973","1973","tonnes","400","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1974","1974","tonnes","400","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1975","1975","tonnes","400","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1976","1976","tonnes","450","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1977","1977","tonnes","500","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1978","1978","tonnes","600","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1979","1979","tonnes","600","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1980","1980","tonnes","620","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1981","1981","tonnes","650","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1982","1982","tonnes","688","*","Unofficial figure"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1983","1983","tonnes","600","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1984","1984","tonnes","500","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1985","1985","tonnes","484","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1986","1986","tonnes","645","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1987","1987","tonnes","531","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1988","1988","tonnes","413","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1989","1989","tonnes","541","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1990","1990","tonnes","393","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1991","1991","tonnes","363","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1992","1992","tonnes","238","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1993","1993","tonnes","132","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1994","1994","tonnes","150","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1995","1995","tonnes","450","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1996","1996","tonnes","705","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1997","1997","tonnes","633","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1998","1998","tonnes","805","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","1999","1999","tonnes","906","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2000","2000","tonnes","1076","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2001","2001","tonnes","1183","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2002","2002","tonnes","1232","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2003","2003","tonnes","1235","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2004","2004","tonnes","1990","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2005","2005","tonnes","1816","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2006","2006","tonnes","2114","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2007","2007","tonnes","2071","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2008","2008","tonnes","2517","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2009","2009","tonnes","2780","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2010","2010","tonnes","2886","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2011","2011","tonnes","2898","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2012","2012","tonnes","3000","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2013","2013","tonnes","3000","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2014","2014","tonnes","3100","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2015","2015","tonnes","3200","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2016","2016","tonnes","3923","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2017","2017","tonnes","3614","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2018","2018","tonnes","3937","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1182","Honey, natural","2019","2019","tonnes","4116","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1961","1961","No","95100","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1962","1962","No","92800","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1963","1963","No","83500","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1964","1964","No","96500","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1965","1965","No","109800","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1966","1966","No","105800","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1967","1967","No","98100","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1968","1968","No","86000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1969","1969","No","88600","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1970","1970","No","99800","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1971","1971","No","99800","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1972","1972","No","89900","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1973","1973","No","90000","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1974","1974","No","90000","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1975","1975","No","90000","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1976","1976","No","90000","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1977","1977","No","100000","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1978","1978","No","100000","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1979","1979","No","100000","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1980","1980","No","110000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1981","1981","No","106000","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1982","1982","No","100000","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1983","1983","No","95000","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1984","1984","No","90000","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1985","1985","No","81000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1986","1986","No","83000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1987","1987","No","87000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1988","1988","No","82000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1989","1989","No","86000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1990","1990","No","80000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1991","1991","No","72900","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1992","1992","No","36200","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1993","1993","No","20000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1994","1994","No","26900","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1995","1995","No","40000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1996","1996","No","53900","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1997","1997","No","57300","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1998","1998","No","56500","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","1999","1999","No","67000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","2000","2000","No","76000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","2001","2001","No","82000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","2002","2002","No","92000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","2003","2003","No","111000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","2004","2004","No","131800","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","2005","2005","No","157000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","2006","2006","No","173000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","2007","2007","No","171000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","2008","2008","No","175000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","2009","2009","No","203300","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","2010","2010","No","218000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","2011","2011","No","233000","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","2012","2012","No","239081","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","2013","2013","No","246151","","Official data"
"QCL","Crops and livestock products","3","Albania","5314","Prod Popultn","1182","Honey, natural","2014","2014","No","261452","","Official data"
